# id         Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN           aper   phcov   phcov2   snr     Npt   order   minmax   OGLEID     Imean_ogle   Vmean_ogle   VmI
  lmc11591   690   0.290306   0.275    0.134   0.025   0.01    0.005    -3.061   1.115    9.494     7.3815   18.962    1.0589   0.0015346376    1      0.988   0.99     109.4   690   3       0.576    lmc11591   18.949       19.322       0.3600006     
  lmc11596   62    0.311912   0.326    0.167   0.033   0.038   -0.035   -2.487   0.164    10.1498   6.5523   18.919    0.0564   9.096774E-4     1      0.937   0.927    53.3    62    5       0.551    lmc11596   18.9         ""           ""            
  lmc11597   214   0.339408   0.363    0.168   0.031   0.02    0.016    3.108    -0.202   9.358     6.0317   19.015    0.2746   0.0012831775    1      0.965   0.967    93.6    214   4       0.603    lmc11597   19.005       19.493       0.47800064    
  lmc11600   677   0.29377    0.331    0.16    0.029   0.019   0.007    -2.951   -0.522   9.6013    5.7406   19.404    1.6764   0.0024762186    1      0.991   0.992    94.2    677   5       0.789    lmc11600   19.384       19.921       0.5170002     
  lmc11601   435   0.334611   0.224    0.117   0.008   0.011   0.015    -2.751   0.378    9.7855    6.6158   18.93     0.4636   0.0010657471    1      0.987   0.985    91.7    435   3       0.478    lmc11601   18.925       19.373       0.4429989     
  lmc11615   41    0.334667   0.306    0.109   0.042   0.006   0.003    -3.003   -0.231   9.5577    6.043    18.838    0.0362   8.8292686E-4    1      0.903   0.93     48.0    41    3       0.401    lmc11615   18.83        ""           ""            
  lmc11617   414   0.344021   0.241    0.114   0.005   0.005   -0.036   -2.781   -1.56    9.8561    4.8302   18.859    0.5186   0.0012526569    1      0.984   0.984    87.1    414   3       0.482    lmc11617   18.854       19.336       0.4770012     
  lmc11623   49    0.280793   0.299    0.116   0.034   0.028   0.092    2.12     2.433    8.219     8.4391   19.023    0.0577   0.001177551     1      0.896   0.898    43.3    49    3       0.49     lmc11623   19.008       ""           ""            
  lmc11624   47    0.389434   0.427    0.202   0.027   0.007   -0.013   2.641    -1.505   8.95      4.8171   19.324    0.1886   0.004012766     1      0.929   0.91     19.8    47    4       0.914    lmc11624   19.268       ""           ""            
  lmc11628   55    0.283607   0.263    0.12    0.014   0.024   -0.023   2.408    -0.069   8.7367    6.2822   18.817    0.0369   6.7090907E-4    1      0.923   0.931    55.2    55    3       0.357    lmc11628   18.806       ""           ""            
  lmc11632   96    0.272571   0.184    0.08    0.013   0.006   0.007    -2.773   1.179    9.7785    7.4405   18.459    0.0637   6.6354166E-4    1      0.938   0.958    47.8    96    4       0.315    lmc11632   18.457       ""           ""            
  lmc11639   57    0.268618   0.247    0.106   0.02    0.015   0.065    -2.61    -0.621   9.827     5.4682   19.033    0.0792   0.0013894737    1      0.931   0.913    33.1    57    3       0.39     lmc11639   19.026       ""           ""            
  lmc11642   92    0.394391   0.267    0.111   0.011   0.017   -0.138   -2.444   2.719    10.3988   9.4174   18.516    0.1117   0.0012141304    1      0.937   0.928    44.6    92    3       0.484    lmc11642   18.507       ""           ""            
  lmc11643   347   0.379252   0.243    0.115   0.009   0.015   -0.015   -2.488   0.838    10.1078   7.1653   18.81     0.3355   9.668588E-4     1      0.982   0.985    96.0    347   4       0.411    lmc11643   18.802       19.35        0.5400009     
  lmc11648   684   0.298373   0.318    0.159   0.03    0.015   0.01     3.001    -0.909   9.2635    5.3431   19.098    0.9082   0.0013277779    1      0.987   0.992    140.6   684   5       0.612    lmc11648   19.085       19.532       0.43400002    
  lmc11651   593   0.274579   0.3      0.149   0.033   0.009   -0.002   -3.053   -0.56    9.516     5.7275   19.278    0.9388   0.0015831365    1      0.988   0.99     112.7   593   4       0.639    lmc11651   19.264       19.693       0.41500092    
  lmc11663   50    0.34174    0.361    0.152   0.051   0.016   0.011    -2.831   2.082    9.7139    8.3329   18.763    0.0613   0.001226        1      0.918   0.91     50.1    50    3       0.447    lmc11663   18.775       ""           ""            
  lmc11666   97    0.29368    0.141    0.059   0.009   0.017   0.004    2.76     0.628    9.0348    6.8987   18.144    0.0357   3.6804125E-4    1      0.925   0.95     52.1    97    3       0.246    lmc11666   18.143       ""           ""            
  lmc11670   176   0.306062   0.328    0.144   0.027   0.01    0.037    -3.033   0.271    9.4597    6.4428   18.771    0.1767   0.0010039773    1      0.967   0.971    92.3    176   3       0.457    lmc11670   18.764       ""           ""            
  lmc11675   725   0.260608   0.109    0.048   0.007   0.008   0.004    2.976    -0.566   9.2516    5.7065   19.055    1.0309   0.0014219311    1      0.99    0.991    48.4    725   3       0.385    lmc11675   19.052       19.481       0.4260006     
  lmc11676   659   0.350204   0.251    0.122   0.015   0.006   -0.004   -2.916   0.758    9.6576    7.0529   18.835    0.6208   9.420334E-4     1      0.99    0.987    134.0   659   3       0.596    lmc11676   18.828       19.316       0.4810009     
  lmc11691   619   0.341463   0.292    0.147   0.014   0.009   0.009    3.031    0.355    9.2958    6.6106   18.937    0.8343   0.001347819     1      0.989   0.987    123.3   619   3       0.589    lmc11691   18.927       19.127       0.19000053    
  lmc11692   721   0.338446   0.19     0.091   0.012   0.005   0.005    -2.445   0.846    10.1107   7.1136   18.565    0.5901   8.1844657E-4    1      0.99    0.99     118.3   721   3       0.41     lmc11692   18.561       18.765       0.19999886    
  lmc11694   731   0.336534   0.219    0.111   0.008   0.007   0.007    2.903    0.432    9.1727    6.6952   18.66     0.7667   0.0010488372    1      0.988   0.992    114.7   731   3       0.484    lmc11694   18.651       19.041       0.38100052    
  lmc11704   727   0.284718   0.315    0.158   0.037   0.017   0.007    -3.047   -0.168   9.5048    6.0934   19.092    1.0787   0.0014837688    1      0.988   0.99     136.7   727   4       0.68     lmc11704   19.08        19.416       0.3240013     
  lmc11705   696   0.345354   0.246    0.122   0.008   0.012   -0.02    -2.929   0.52     9.6772    6.8634   18.965    0.8536   0.0012264368    1      0.99    0.991    116.9   696   5       0.474    lmc11705   18.955       19.443       0.47800064    
  lmc11706   692   0.29369    0.286    0.139   0.027   0.013   0.003    2.943    -0.802   9.22      5.4727   19.009    0.9936   0.0014358382    1      0.992   0.991    119.1   692   4       0.619    lmc11706   18.996       19.41        0.40099907    
  lmc11709   720   0.313967   0.295    0.145   0.032   0.011   0.013    3.09     0.027    9.3466    6.2702   19.061    1.0621   0.0014751389    1      0.991   0.988    127.7   720   3       0.576    lmc11709   19.049       19.426       0.36499977    
  lmc11710   654   0.301086   0.327    0.164   0.03    0.019   0.003    2.957    -0.311   9.2346    5.963    18.978    0.9198   0.001406422     1      0.989   0.991    137.8   654   5       0.628    lmc11710   18.962       19.283       0.3050003     
  lmc11713   717   0.340493   0.271    0.123   0.019   0.014   0.028    -3.063   1.41     9.4478    7.6105   19.502    1.5356   0.0021417015    1      0.992   0.991    91.1    717   3       0.599    lmc11713   19.483       20.26        0.7579994     
  lmc11714   726   0.272421   0.229    0.115   0.022   0.008   -0.018   3.14     -0.469   9.4587    5.8681   19.005    0.9129   0.001257438     1      0.993   0.993    109.9   726   4       0.503    lmc11714   19.0         19.427       0.42200089    
  lmc11715   700   0.309075   0.142    0.064   0.002   0.006   0.025    2.202    -0.298   8.4356    5.9107   18.859    1.8429   0.0026327143    1      0.988   0.99     40.6    700   4       0.583    lmc11715   18.843       19.231       0.37200165    
  lmc11717   718   0.362446   0.252    0.129   0.007   0.011   -0.042   -2.902   0.373    9.749     6.7832   18.805    0.8254   0.0011495822    1      0.988   0.989    125.6   718   3       0.484    lmc11717   18.792       19.184       0.3789997     
  lmc11720   106   0.335785   0.34     0.148   0.02    0.007   0.008    -2.687   -1.81    9.8633    4.4499   18.834    0.1886   0.0017792453    1      0.952   0.951    49.4    106   3       0.521    lmc11720   18.821       ""           ""            
  lmc11722   686   0.402396   0.227    0.108   0.006   0.009   0.026    -1.448   2.122    11.0652   8.326    18.569    0.6416   9.3527697E-4    1      0.992   0.992    127.1   686   3       0.426    lmc11722   18.563       18.97        0.40099907    
  lmc11724   725   0.392929   0.278    0.136   0.012   0.006   -0.017   -3.138   0.607    9.4616    6.9403   18.97     1.4328   0.001976276     1      0.992   0.99     97.2    725   3       0.61     lmc11724   18.957       19.457       0.48700142    
  lmc11725   715   0.302283   0.22     0.108   0.015   0.008   0.009    -3.12    0.166    9.4292    6.4235   18.751    0.5647   7.8979024E-4    1      0.989   0.988    141.1   715   4       0.419    lmc11725   18.742       19.195       0.44400024    
  lmc11727   717   0.272582   0.202    0.097   0.015   0.005   -0.018   3.019    1.346    9.3387    7.6842   18.912    0.8216   0.0011458857    1      0.988   0.987    100.6   717   4       0.436    lmc11727   18.902       19.231       0.31900024    
  lmc11728   653   0.300275   0.309    0.159   0.021   0.02    0.037    -2.882   -0.069   9.6106    6.1026   19.284    1.1032   0.0016894334    1      0.987   0.985    113.8   653   5       0.634    lmc11728   19.268       19.844       0.55999947    
  lmc11732   696   0.310394   0.261    0.126   0.024   0.013   0.008    2.971    0.627    9.2379    6.886    18.781    0.6188   8.8908046E-4    1      0.985   0.989    151.3   696   4       0.493    lmc11732   18.77        19.174       0.39299965    
  lmc11736   654   0.324421   0.283    0.145   0.025   0.014   -0.007   -3.093   -0.219   9.4877    6.0857   18.954    0.7029   0.0010747706    1      0.987   0.989    140.5   654   4       0.554    lmc11736   18.949       19.491       0.53699875    
  lmc11745   701   0.372915   0.306    0.155   0.022   0.013   -0.022   -2.738   0.516    9.8729    6.8663   18.739    0.8555   0.0012203994    1      0.99    0.992    146.7   701   5       0.541    lmc11745   18.728       19.134       0.39500046    
  lmc11749   686   0.233179   0.14     0.056   0.008   0.005   -0.004   -2.162   1.154    10.412    7.4495   19.145    0.9535   0.0013899417    1      0.988   0.99     61.2    686   5       0.435    lmc11749   19.14        19.496       0.35099983    
  lmc11750   657   0.346364   0.256    0.123   0.018   0.01    0.0      -2.952   0.959    9.6135    7.2414   19.13     0.8282   0.0012605784    1      0.986   0.991    117.8   657   4       0.514    lmc11750   19.121       19.666       0.5360012     
  lmc11762   713   0.298137   0.276    0.131   0.024   0.009   -0.025   -3.021   -0.726   9.596     5.6335   18.768    0.7307   0.0010248247    1      0.991   0.991    149.2   713   5       0.508    lmc11762   18.758       19.117       0.34900093    
  lmc11764   704   0.335204   0.288    0.134   0.021   0.012   0.019    3.073    0.041    9.3177    6.2667   18.842    0.8246   0.0011713068    1      0.991   0.992    142.4   704   3       0.505    lmc11764   18.829       19.308       0.4660015     
  lmc11767   654   0.318815   0.226    0.109   0.004   0.005   0.019    2.735    -0.317   8.9803    5.9087   18.885    1.0246   0.0015666668    1      0.989   0.99     89.8    654   3       0.474    lmc11767   18.875       19.322       0.43700027    
  lmc11768   697   0.343528   0.198    0.093   0.007   0.008   0.047    3.115    -1.871   9.3042    4.2712   18.877    1.4924   0.0021411765    1      0.99    0.991    64.2    697   3       0.533    lmc11768   18.865       19.357       0.47999954    
  lmc11770   53    0.328425   0.324    0.137   0.024   0.02    0.016    -3.019   0.998    9.5158    7.2336   18.777    0.0556   0.0010490565    1      0.886   0.918    51.1    53    3       0.441    lmc11770   18.764       ""           ""            
  lmc11782   707   0.277228   0.331    0.158   0.039   0.016   -0.003   -3.057   0.131    9.5164    6.4246   19.03     1.1147   0.001576662     1      0.988   0.991    134.1   707   3       0.628    lmc11782   19.011       19.363       0.33300018    
  lmc11783   720   0.334947   0.221    0.112   0.004   0.004   0.003    -2.903   1.036    9.657     7.3102   18.761    0.6929   9.623611E-4     1      0.99    0.99     125.0   720   3       0.468    lmc11783   18.755       19.095       0.33399963    
  lmc11785   698   0.331315   0.235    0.123   0.011   0.01    -0.006   -3.097   0.752    9.4809    7.0527   19.007    0.6916   9.90831E-4      1      0.991   0.991    128.7   698   3       0.46     lmc11785   18.997       19.453       0.44599915    
  lmc11789   698   0.371929   0.069    0.03    0.002   0.001   -0.04    -2.737   -1.594   9.91      4.8099   17.713    0.2213   3.1704872E-4    1      0.991   0.99     72.2    698   3       0.179    lmc11789   17.711       18.635       0.9220009     
  lmc11790   646   0.360952   0.26     0.131   0.016   0.01    -0.015   -2.643   0.33     9.9534    6.6585   18.767    0.6345   9.821982E-4     1      0.989   0.986    135.7   646   3       0.493    lmc11790   18.757       19.276       0.5089989     
  lmc11791   703   0.288827   0.109    0.043   0.005   0.003   0.037    1.785    -0.829   7.9934    5.3426   18.897    0.7861   0.0011182076    1      0.989   0.991    56.1    703   3       0.365    lmc11791   18.892       19.275       0.37800026    
  lmc11794   723   0.37061    0.283    0.145   0.026   0.014   -0.021   -2.525   0.261    10.0834   6.6068   18.752    0.6043   8.35823E-4      1      0.991   0.987    175.3   723   5       0.511    lmc11794   18.74        19.236       0.48399925    
  lmc11795   701   0.339856   0.165    0.08    0.013   0.007   -0.01    2.892    0.507    9.1948    6.8203   18.269    0.3175   4.5292437E-4    1      0.989   0.991    142.2   701   4       0.329    lmc11795   18.265       18.647       0.37800026    
  lmc11797   725   0.263886   0.173    0.08    0.011   0.004   -0.015   2.718    0.027    9.0312    6.3551   19.06     1.0509   0.0014495172    1      0.988   0.992    76.0    725   3       0.48     lmc11797   19.053       19.404       0.34399986    
  lmc11803   705   0.266659   0.121    0.06    0.008   0.003   0.06     1.822    -0.168   7.9859    5.936    18.822    0.6743   9.564539E-4     1      0.99    0.991    67.2    705   3       0.379    lmc11803   18.817       19.118       0.29599953    
  lmc11809   726   0.294054   0.293    0.142   0.027   0.014   -0.028   3.119    0.667    9.4575    7.0336   18.8      0.7127   9.816805E-4     1      0.988   0.991    164.1   726   5       0.588    lmc11809   18.79        19.144       0.34399986    
  lmc11811   440   0.351978   0.236    0.126   0.009   0.012   0.023    -2.905   0.672    9.6162    6.8866   18.855    0.3938   8.95E-4         1      0.985   0.987    109.1   440   3       0.444    lmc11811   18.846       19.307       0.45199966    
  lmc11813   700   0.322436   0.284    0.141   0.014   0.012   0.008    -2.827   0.977    9.7232    7.2361   18.845    0.7187   0.0010267142    1      0.992   0.99     152.0   700   5       0.544    lmc11813   18.836       19.219       0.37400055    
  lmc11819   715   0.298102   0.291    0.141   0.037   0.015   -0.003   3.014    -0.553   9.3023    5.7382   18.91     0.7106   9.938462E-4     1      0.991   0.988    161.6   715   4       0.53     lmc11819   18.9         19.315       0.4050007     
  lmc11825   728   0.276111   0.236    0.113   0.009   0.015   -0.043   2.552    -1.595   8.921     4.8164   19.062    1.2285   0.0016875       1      0.992   0.989    93.5    728   3       0.554    lmc11825   19.048       19.352       0.289999      
  lmc11830   706   0.245472   0.238    0.115   0.019   0.013   0.018    -3.033   -0.168   9.4982    6.0617   19.202    1.0314   0.0014609065    1      0.993   0.991    100.6   706   5       0.527    lmc11830   19.193       19.554       0.3520012     
  lmc11831   444   0.308894   0.259    0.128   0.019   0.013   -0.049   -2.963   -0.581   9.7004    5.8487   19.022    0.6235   0.0014042793    1      0.986   0.982    91.2    444   5       0.489    lmc11831   19.01        19.539       0.5170002     
  lmc11833   699   0.379892   0.23     0.115   0.007   0.005   0.025    -2.666   1.609    9.8515    7.8187   18.744    0.8117   0.0011612303    1      0.989   0.991    112.5   699   3       0.446    lmc11833   18.736       19.225       0.4810009     
  lmc11845   723   0.248542   0.155    0.081   0.004   0.007   0.02     -2.206   -0.356   10.3208   5.867    19.311    1.3472   0.0018633473    1      0.99    0.99     56.0    723   3       0.569    lmc11845   19.3         19.551       0.23999977    
  lmc11847   727   0.326682   0.277    0.138   0.018   0.013   0.023    -3.019   0.734    9.5008    6.9464   19.166    0.9245   0.0012716644    1      0.989   0.992    133.1   727   5       0.537    lmc11847   19.154       19.587       0.42099953    
  lmc11851   726   0.344205   0.148    0.071   0.009   0.004   -0.009   -2.786   0.566    9.7974    6.8748   18.255    0.3873   5.334711E-4     1      0.989   0.991    118.9   726   3       0.33     lmc11851   18.252       18.88        0.625         
  lmc11854   725   0.354275   0.27     0.135   0.013   0.004   -0.004   -2.696   0.97     9.8787    7.2654   18.871    0.8805   0.0012144828    1      0.991   0.99     130.7   725   4       0.58     lmc11854   18.865       19.322       0.4510002     
  lmc11859   664   0.307266   0.295    0.144   0.024   0.016   0.006    -2.902   -0.396   9.6531    5.8702   19.085    0.8989   0.001353765     1      0.989   0.989    128.9   664   3       0.575    lmc11859   19.074       19.528       0.4430008     
  lmc11860   651   0.350125   0.274    0.138   0.019   0.01    0.016    -3.033   0.954    9.5014    7.1888   19.041    0.7474   0.0011480799    1      0.99    0.989    129.8   651   3       0.581    lmc11860   19.031       19.518       0.47699928    
  lmc11862   680   0.318626   0.327    0.166   0.033   0.018   0.003    -2.922   -0.08    9.6387    6.1949   18.903    0.7262   0.0010679412    1      0.992   0.99     167.4   680   5       0.601    lmc11862   18.893       19.274       0.3710003     
  lmc11878   704   0.352192   0.274    0.133   0.018   0.007   -0.022   2.906    -1.131   9.2341    5.2192   18.896    0.6851   9.7315345E-4    1      0.989   0.991    149.0   704   4       0.554    lmc11878   18.887       19.313       0.41699982    
  lmc11879   703   0.318515   0.276    0.133   0.019   0.006   0.004    -2.871   0.689    9.6883    6.9618   18.997    0.818    0.0011635846    1      0.991   0.989    135.1   703   4       0.575    lmc11879   18.983       19.408       0.4110012     
  lmc11883   722   0.34554    0.243    0.121   0.013   0.004   -0.013   3.129    1.235    9.4374    7.5554   18.83     0.8164   0.001130748     1      0.991   0.99     123.2   722   3       0.503    lmc11883   18.821       19.32        0.48999977    
  lmc11885   699   0.348208   0.231    0.121   0.014   0.01    -0.008   2.973    0.648    9.2731    6.9563   18.895    0.6947   9.938483E-4     1      0.989   0.991    126.7   699   3       0.538    lmc11885   18.884       19.391       0.4960003     
  lmc11887   712   0.290526   0.13     0.059   0.011   0.008   -0.054   -1.714   -1.167   10.961    5.2793   19.059    1.0241   0.0014383426    1      0.988   0.989    56.0    712   4       0.443    lmc11887   19.05        19.669       0.6100006     
  lmc11888   700   0.402268   0.212    0.099   0.005   0.004   0.001    1.788    1.165    8.0702    7.4459   18.697    1.1527   0.0016467142    1      0.987   0.989    79.1    700   5       0.433    lmc11888   18.683       19.175       0.47799873    
  lmc11889   448   0.320282   0.226    0.095   0.013   0.011   -0.015   -2.217   1.681    10.3797   8.0095   18.895    0.827    0.0018459822    1      0.986   0.985    62.7    448   5       0.47     lmc11889   18.876       19.311       0.41600037    
  lmc11894   705   0.33152    0.226    0.111   0.017   0.01    -0.021   -3.035   0.487    9.5725    6.8324   18.946    0.9483   0.0013451064    1      0.992   0.987    102.0   705   3       0.534    lmc11894   18.937       19.352       0.40600014    
  lmc11895   725   0.391618   0.203    0.104   0.008   0.007   0.008    -2.268   1.212    10.2829   7.472    18.421    0.3735   5.151724E-4     1      0.99    0.989    165.8   725   4       0.383    lmc11895   18.418       18.844       0.42300034    
  lmc11899   648   0.354356   0.284    0.143   0.021   0.012   0.004    -2.933   0.017    9.6262    6.2892   19.27     1.1283   0.0017412036    1      0.989   0.99     102.4   648   3       0.633    lmc11899   19.258       ""           ""            
  lmc11900   706   0.281935   0.319    0.157   0.034   0.013   -0.036   -3.067   -0.079   9.5708    6.3119   19.158    1.1362   0.0016093483    1      0.99    0.991    124.8   706   5       0.654    lmc11900   19.146       19.627       0.46899986    
  lmc11902   649   0.328981   0.262    0.133   0.018   0.012   0.009    -2.598   0.504    9.9491    6.7589   19.119    1.073    0.0016533127    1      0.989   0.989    98.3    649   4       0.622    lmc11902   19.11        19.706       0.5869999     
  lmc11905   682   0.334495   0.139    0.072   0.008   0.006   0.082    2.83     0.632    8.9484    6.6678   18.924    2.3646   0.0034671554    1      0.987   0.992    30.8    682   3       0.995    lmc11905   18.892       19.047       0.1230011     
  lmc11911   726   0.32592    0.23     0.108   0.012   0.012   0.043    2.893    -1.724   9.0892    4.4296   18.579    1.1087   0.001527135     1      0.992   0.99     92.8    726   3       0.56     lmc11911   18.572       18.69        0.11100006    
  lmc11912   719   0.331427   0.285    0.144   0.017   0.008   -0.002   3.011    0.94     9.2984    7.2297   18.952    0.8737   0.00121516      1      0.991   0.991    137.6   719   5       0.536    lmc11912   18.94        19.629       0.67700005    
  lmc11913   703   0.344351   0.203    0.1     0.015   0.008   -0.023   -2.959   0.476    9.6534    6.8282   18.614    0.4545   6.4651493E-4    1      0.989   0.991    145.0   703   3       0.368    lmc11913   18.608       19.134       0.52000046    
  lmc11915   656   0.324538   0.344    0.169   0.034   0.018   -0.011   3.072    -0.477   9.3763    5.8382   18.769    0.4783   7.2911585E-4    1      0.984   0.987    220.1   656   5       0.516    lmc11915   18.759       19.209       0.44000053    
  lmc11920   706   0.343714   0.27     0.125   0.017   0.011   -0.01    -2.771   0.394    9.8149    6.706    18.885    0.7023   9.947593E-4     1      0.99    0.99     147.7   706   3       0.501    lmc11920   18.877       19.363       0.47800064    
  lmc11921   700   0.295517   0.355    0.167   0.041   0.012   -0.003   3.043    -0.133   9.3333    6.1605   19.255    1.2039   0.0017198571    1      0.99    0.99     136.7   700   3       0.701    lmc11921   19.239       19.691       0.43600082    
  lmc11924   709   0.401672   0.22     0.106   0.001   0.006   0.016    -0.271   2.207    5.9796    8.442    18.945    1.5903   0.0022430182    1      0.991   0.99     69.2    709   3       0.533    lmc11924   18.936       19.506       0.5610008     
  lmc11925   729   0.29242    0.311    0.147   0.035   0.017   -0.027   -3.066   0.237    9.5549    6.6016   19.287    1.4908   0.0020449932    1      0.992   0.991    106.8   729   5       0.676    lmc11925   19.27        19.712       0.42499924    
  lmc11926   722   0.299845   0.184    0.089   0.01    0.004   -0.002   -2.949   -1.356   9.621     4.9318   18.86     0.675    9.3490304E-4    1      0.989   0.987    105.7   722   4       0.423    lmc11926   18.856       19.21        0.34999847    
  lmc11927   722   0.275734   0.24     0.113   0.024   0.001   -0.044   2.901    -1.835   9.2714    4.5787   18.851    0.822    0.0011385042    1      0.984   0.983    120.2   722   4       0.509    lmc11927   18.842       19.212       0.36100006    
  lmc11931   699   0.337486   0.228    0.112   0.014   0.009   0.017    -2.646   1.188    9.8862    7.4192   18.797    0.5735   8.2045776E-4    1      0.989   0.99     140.5   699   4       0.406    lmc11931   18.791       19.298       0.50099945    
  lmc11932   710   0.335788   0.165    0.081   0.009   0.005   0.012    -2.396   0.962    10.1473   7.2102   18.824    1.4421   0.0020311268    1      0.989   0.987    57.6    710   3       0.501    lmc11932   18.809       19.202       0.37800026    
  lmc11934   696   0.265004   0.18     0.085   0.004   0.009   0.036    0.111    -1.609   6.3222    4.566    19.079    1.0594   0.0015221264    1      0.991   0.992    75.0    696   3       0.49     lmc11934   19.069       19.439       0.3599987     
  lmc11937   703   0.294163   0.324    0.166   0.033   0.016   -0.012   3.059    -0.191   9.3669    6.1287   18.93     0.7149   0.0010169275    1      0.99    0.989    176.6   703   5       0.609    lmc11937   18.917       19.288       0.3579998     
  lmc11939   706   0.318652   0.286    0.147   0.021   0.013   -0.003   -2.953   0.057    9.6181    6.3484   18.873    0.7265   0.0010290368    1      0.989   0.99     152.0   706   4       0.537    lmc11939   18.863       19.278       0.4050007     
  lmc11945   657   0.26516    0.174    0.076   0.013   0.004   0.033    2.693    0.617    8.9114    6.8022   19.149    0.9205   0.0014010654    1      0.988   0.988    73.2    657   3       0.471    lmc11945   19.141       19.419       0.27000046    
  lmc11946   710   0.334785   0.282    0.139   0.014   0.001   0.032    -2.388   2.859    10.1147   9.0464   18.978    1.2376   0.0017430986    1      0.986   0.989    101.4   710   3       0.651    lmc11946   18.966       19.419       0.44099998    
  lmc11947   701   0.343156   0.246    0.122   0.011   0.011   -0.025   3.125    0.273    9.4589    6.6317   18.869    0.6824   9.7346643E-4    1      0.99    0.992    135.3   701   4       0.496    lmc11947   18.861       19.362       0.49300003    
  lmc11949   673   0.423641   0.246    0.123   0.006   0.005   0.023    -1.182   1.309    5.0547    7.5214   18.57     0.6573   9.766716E-4     1      0.99    0.99     130.8   673   3       0.521    lmc11949   18.559       19.007       0.43700027    
  lmc11960   720   0.248041   0.165    0.082   0.009   0.009   0.027    3.07     -0.735   9.299     5.4667   18.723    0.9707   0.0013481944    1      0.99    0.988    75.6    720   3       0.421    lmc11960   18.714       19.146       0.42300034    
  lmc11962   443   0.352378   0.269    0.128   0.014   0.005   0.044    -3.12    2.434    9.3573    8.5836   18.853    0.4733   0.0010683973    1      0.985   0.984    111.4   443   5       0.557    lmc11962   18.845       19.309       0.45599937    
  lmc11964   660   0.295405   0.209    0.101   0.017   0.004   -0.003   -2.986   -1.499   9.5862    4.7933   19.159    0.8551   0.001295606     1      0.991   0.99     93.5    660   3       0.492    lmc11964   19.15        19.621       0.4619999     
  lmc11965   708   0.433946   0.154    0.064   0.003   0.005   0.065    -1.071   -2.575   5.0818    9.7957   18.451    1.5079   0.0021298022    1      0.991   0.99     51.5    708   3       0.42     lmc11965   18.438       18.93        0.4790001     
  lmc11971   720   0.30991    0.27     0.14    0.021   0.009   0.002    2.929    0.047    9.2086    6.3246   18.993    1.0735   0.0014909722    1      0.99    0.986    115.0   720   4       0.622    lmc11971   18.983       19.36        0.36700058    
  lmc11975   712   0.331396   0.222    0.115   0.01    0.005   0.002    -3.025   -0.201   9.5367    6.0755   18.829    0.6735   9.45927E-4      1      0.989   0.991    126.9   712   3       0.415    lmc11975   18.824       19.275       0.44599915    
  lmc11976   719   0.31742    0.291    0.144   0.027   0.012   -0.018   -3.055   -0.002   9.547     6.3356   18.833    0.7469   0.001038804     1      0.991   0.991    157.1   719   4       0.522    lmc11976   18.825       19.416       0.5830002     
  lmc11980   734   0.382248   0.263    0.121   0.011   0.013   0.007    -2.452   1.468    10.1016   7.732    18.804    1.1514   0.0015686648    1      0.989   0.991    110.7   734   3       0.562    lmc11980   18.792       19.303       0.49899864    
  lmc11982   728   0.306675   0.302    0.15    0.032   0.021   -0.003   2.981    -0.872   9.2698    5.4202   18.817    0.9977   0.001370467     1      0.989   0.988    134.9   728   4       0.61     lmc11982   18.803       19.113       0.29600143    
  lmc11990   720   0.342959   0.26     0.125   0.012   0.011   0.024    -2.896   1.426    9.6215    7.6368   19.36     1.2244   0.0017005557    1      0.99    0.987    102.4   720   3       0.603    lmc11990   19.348       20.046       0.6859989     
  lmc11992   709   0.261561   0.085    0.041   0.003   0.002   0.03     -2.038   0.17     10.4693   6.3646   18.977    1.1015   0.0015535967    1      0.988   0.99     35.0    709   3       0.494    lmc11992   18.976       19.357       0.38000107    
  lmc11994   96    0.328579   0.254    0.112   0.005   0.014   0.013    -1.73    1.082    10.8101   7.3255   19.212    0.1457   0.0015177083    1      0.95    0.958    38.2    96    4       0.429    lmc11994   19.201       ""           ""            
  lmc11999   722   0.349392   0.318    0.154   0.019   0.008   -0.023   -2.985   -0.486   9.627     5.8653   18.765    0.7656   0.0010603878    1      0.992   0.992    167.8   722   5       0.529    lmc11999   18.757       19.186       0.42100143    
  lmc12000   708   0.296237   0.315    0.162   0.03    0.014   -0.006   -3.05    -0.313   9.5279    5.9878   19.203    1.2679   0.0017908192    1      0.986   0.992    115.3   708   5       0.707    lmc12000   19.189       19.687       0.48400116    
  lmc12005   39    0.280684   0.242    0.079   0.035   0.013   0.18     -2.026   -1.353   10.1801   4.3894   19.022    0.0635   0.0016282052    1      0.902   0.869    24.8    39    4       0.41     lmc12005   19.005       ""           ""            
  lmc12007   701   0.349858   0.31     0.154   0.022   0.014   -0.0     -2.863   0.258    9.7047    6.5423   19.01     0.8355   0.0011918688    1      0.99    0.99     147.0   701   3       0.562    lmc12007   19.002       19.367       0.35700035    
  lmc12009   728   0.272307   0.088    0.041   0.005   0.001   0.015    -2.272   0.369    10.2645   6.6077   18.815    0.7239   9.943681E-4     1      0.993   0.991    49.4    728   3       0.347    lmc12009   18.81        19.491       0.6759987     
  lmc12011   722   0.378061   0.29     0.147   0.012   0.007   -0.014   3.1      1.009    9.4115    7.3346   18.775    0.8912   0.0012343491    1      0.991   0.992    139.1   722   3       0.552    lmc12011   18.76        19.146       0.3710003     
