# id         Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN           aper   phcov   phcov2   snr     Npt   order   minmax   OGLEID     Imean_ogle   Vmean_ogle   VmI
  lmc00164   422   0.295511   0.143    0.063   0.008   0.001   -0.034   -3.094   0.4      9.5407    6.786    18.867    0.5376   0.0012739336    1      0.983   0.987    52.9    422   3       0.421    lmc00164   18.859       19.241       0.37399864    
  lmc00166   426   0.336233   0.327    0.155   0.03    0.01    -0.01    -3.133   -0.146   9.4531    6.1668   18.766    0.3838   9.00939E-4      1      0.987   0.986    148.3   426   4       0.511    lmc00166   18.756       19.209       0.4429989     
  lmc00172   415   0.280719   0.224    0.101   0.011   0.011   -0.019   -2.992   1.519    9.6121    7.8583   19.223    0.5542   0.0013354217    1      0.985   0.987    78.5    415   4       0.505    lmc00172   19.211       19.606       0.38300133    
  lmc00173   405   0.358715   0.273    0.137   0.014   0.011   -0.019   -2.703   0.649    9.9018    6.9902   18.823    0.3687   9.103704E-4     1      0.982   0.987    116.8   405   4       0.48     lmc00173   18.812       19.242       0.41900063    
  lmc00181   422   0.299649   0.256    0.126   0.019   0.019   0.007    2.946    1.249    9.2156    7.5118   19.191    0.5553   0.0013158767    1      0.984   0.977    92.3    422   3       0.562    lmc00181   19.181       19.719       0.5279999     
  lmc00190   391   0.354415   0.28     0.147   0.018   0.015   -0.019   2.779    0.116    9.101     6.4573   18.962    0.4071   0.0010411765    1      0.985   0.986    113.0   391   3       0.478    lmc00190   18.953       19.462       0.5           
  lmc00196   420   0.354079   0.264    0.129   0.018   0.009   0.026    -2.931   0.254    9.5833    6.4589   18.981    0.4075   9.702381E-4     1      0.987   0.984    112.3   420   3       0.469    lmc00196   18.969       19.535       0.55399895    
  lmc00200   424   0.28919    0.327    0.148   0.044   0.004   -0.002   -3.095   -0.227   9.4759    6.0627   18.905    0.4709   0.0011106132    1      0.986   0.987    129.1   424   3       0.623    lmc00200   18.889       19.282       0.3769989     
  lmc00201   422   0.29566    0.32     0.154   0.032   0.023   -0.002   2.919    -0.259   9.2053    6.0292   18.999    0.4647   0.0011011849    1      0.981   0.982    127.7   422   3       0.515    lmc00201   18.984       19.373       0.37399864    
  lmc00202   421   0.309415   0.284    0.142   0.021   0.019   -0.014   3.034    0.478    9.3454    6.8039   19.193    0.5918   0.0014057007    1      0.984   0.983    97.4    421   3       0.55     lmc00202   19.18        19.583       0.3899994     
  lmc00213   429   0.304768   0.188    0.089   0.011   0.004   -0.005   2.783    0.621    9.0759    6.9181   19.044    0.6003   0.0013993008    1      0.983   0.983    63.5    429   3       0.481    lmc00213   19.035       19.482       0.43799973    
  lmc00218   411   0.269381   0.231    0.101   0.006   0.009   0.021    2.522    -1.919   8.7621    4.2999   19.072    0.6284   0.0015289538    1      0.984   0.989    74.3    411   4       0.542    lmc00218   19.058       19.402       0.32999992    
  lmc00227   422   0.315533   0.358    0.162   0.047   0.008   0.004    2.961    -0.053   9.2353    6.2174   18.883    0.4061   9.623223E-4     1      0.983   0.983    155.0   422   5       0.536    lmc00227   18.872       19.241       0.3579998     
  lmc00233   217   0.369156   0.338    0.144   0.028   0.002   -0.004   -2.762   -1.505   9.8127    4.7905   18.755    0.5217   0.0024041475    1      0.974   0.974    53.4    217   4       0.905    lmc00233   18.734       19.156       0.40100098    
  lmc00237   417   0.248688   0.152    0.057   0.013   0.004   0.087    1.501    -1.762   7.6092    4.2587   19.229    0.7197   0.0017258992    1      0.985   0.986    44.4    417   3       0.662    lmc00237   19.215       19.572       0.3430004     
  lmc00242   421   0.302628   0.35     0.17    0.045   0.016   0.024    2.96     -0.613   9.1956    5.5999   18.9      0.397    9.429929E-4     1      0.982   0.983    153.6   421   4       0.56     lmc00242   18.888       19.261       0.36100006    
  lmc00243   419   0.349818   0.275    0.135   0.013   0.017   0.015    -3.08    0.928    9.4554    7.1654   18.948    0.4621   0.0011028639    1      0.988   0.985    109.7   419   3       0.468    lmc00243   18.931       19.386       0.43799973    
  lmc00247   400   0.387718   0.289    0.14    0.021   0.018   0.019    -2.715   0.113    9.8125    6.3379   18.534    0.2726   6.815E-4        1      0.985   0.987    150.1   400   3       0.47     lmc00247   18.524       19.016       0.48200035    
  lmc00252   423   0.356068   0.256    0.128   0.011   0.004   0.034    -2.231   0.308    10.2688   6.4909   18.989    0.4846   0.0011456265    1      0.988   0.986    100.1   423   3       0.481    lmc00252   18.983       19.54        0.5510006     
  lmc00253   424   0.298846   0.328    0.158   0.031   0.018   -0.024   3.084    -0.977   9.4146    5.3772   19.04     0.5948   0.0014028301    1      0.982   0.986    112.9   424   4       0.598    lmc00253   19.027       19.448       0.40799904    
  lmc00255   421   0.349379   0.308    0.154   0.021   0.018   -0.021   -3.096   0.007    9.5132    6.3544   18.978    0.3852   9.1496436E-4    1      0.987   0.987    138.9   421   5       0.496    lmc00255   18.969       19.484       0.5059986     
  lmc00259   425   0.352164   0.281    0.135   0.012   0.014   -0.012   -2.528   1.219    10.0625   7.5377   18.829    0.379    8.917647E-4     1      0.986   0.984    127.7   425   4       0.492    lmc00259   18.817       19.246       0.41699982    
  lmc00260   402   0.3106     0.353    0.165   0.038   0.011   0.002    2.899    -0.349   9.1783    5.9281   19.08     0.5007   0.0012455224    1      0.982   0.981    127.8   402   5       0.562    lmc00260   19.06        19.488       0.40800095    
  lmc00267   423   0.308684   0.268    0.132   0.013   0.007   0.014    3.018    1.467    9.2737    7.7094   19.168    0.585    0.0013829786    1      0.982   0.984    91.0    423   5       0.611    lmc00267   19.157       19.636       0.4680004     
  lmc00281   422   0.344758   0.286    0.136   0.024   0.015   -0.009   2.957    0.341    9.2585    6.6512   18.821    0.3326   7.8815164E-4    1      0.985   0.984    142.2   422   3       0.451    lmc00281   18.815       19.264       0.4430008     
  lmc00290   418   0.349265   0.284    0.125   0.018   0.025   -0.021   2.377    -0.33    8.7023    6.016    18.662    1.4409   0.0034471292    1      0.981   0.985    50.2    418   3       0.844    lmc00290   18.652       19.028       0.36599922    
  lmc00291   406   0.320141   0.333    0.166   0.04    0.018   -0.001   3.085    -0.297   9.3703    5.9901   18.89     0.3783   9.3177345E-4    1      0.984   0.985    144.0   406   5       0.519    lmc00291   18.876       19.273       0.38300133    
  lmc00302   406   0.358019   0.249    0.131   0.018   0.012   0.019    -2.891   0.664    9.6371    6.8891   18.58     0.2695   6.6379306E-4    1      0.988   0.984    131.3   406   4       0.427    lmc00302   18.572       19.065       0.4850006     
  lmc00305   425   0.349012   0.237    0.123   0.016   0.005   -0.005   -2.74    0.363    9.8356    6.6602   18.963    0.4617   0.001086353     1      0.98    0.985    96.2    425   4       0.492    lmc00305   18.96        19.503       0.5400009     
  lmc00318   422   0.230639   0.227    0.112   0.017   0.016   -0.02    -2.927   -0.45    9.6803    5.8937   19.149    0.573    0.0013578199    1      0.981   0.984    77.0    422   4       0.577    lmc00318   19.138       19.558       0.4090004     
  lmc00322   421   0.318728   0.367    0.175   0.05    0.015   0.005    2.94     -0.682   9.2127    5.5851   18.913    0.4645   0.0011033254    1      0.985   0.974    147.1   421   4       0.566    lmc00322   18.904       19.347       0.43400002    
  lmc00328   424   0.396077   0.246    0.122   0.006   0.005   0.011    -0.847   -0.076   5.414     6.1744   18.84     0.4611   0.0010875       1      0.987   0.988    98.8    424   3       0.471    lmc00328   18.829       19.311       0.47100067    
  lmc00330   424   0.34611    0.307    0.139   0.017   0.013   0.036    3.086    -2.12    9.2976    4.0566   18.877    0.9084   0.0021424529    1      0.983   0.986    76.4    424   3       0.759    lmc00330   18.862       19.317       0.43999863    
  lmc00333   426   0.315799   0.344    0.168   0.036   0.013   -0.021   -3.04    -0.158   9.5689    6.1888   18.876    0.4537   0.0010650235    1      0.983   0.984    138.9   426   5       0.551    lmc00333   18.864       19.29        0.41400146    
  lmc00340   423   0.332916   0.262    0.127   0.015   0.008   0.009    -2.931   1.059    9.618     7.3162   19.044    0.5097   0.0012049646    1      0.983   0.982    98.3    423   3       0.517    lmc00340   19.036       19.504       0.45999908    
  lmc00343   421   0.308511   0.347    0.157   0.047   0.005   -0.019   3.108    1.017    9.4282    7.3558   19.016    0.6005   0.0014263658    1      0.986   0.984    113.2   421   3       0.602    lmc00343   19.002       19.439       0.42299843    
  lmc00346   386   0.308929   0.345    0.166   0.042   0.017   -0.016   3.116    -0.399   9.4308    5.9323   18.909    0.3851   9.976684E-4     1      0.987   0.985    140.7   386   5       0.61     lmc00346   18.897       19.296       0.38699913    
  lmc00349   417   0.263653   0.203    0.089   0.015   0.002   -0.03    2.53     -0.777   8.8721    5.5952   19.206    0.6846   0.0016417266    1      0.988   0.983    59.9    417   4       0.548    lmc00349   19.195       19.592       0.38599968    
  lmc00354   418   0.357777   0.261    0.129   0.012   0.013   0.004    -2.976   0.945    9.5816    7.2154   18.862    0.3423   8.1889954E-4    1      0.984   0.981    122.9   418   3       0.461    lmc00354   18.855       19.401       0.53899956    
  lmc00356   427   0.338976   0.298    0.137   0.02    0.005   -0.082   3.101    1.708    9.5492    8.2385   19.121    0.8062   0.0018880563    1      0.989   0.981    83.5    427   3       0.649    lmc00356   19.105       19.607       0.48600006    
  lmc00357   425   0.245964   0.254    0.123   0.017   0.016   0.025    2.727    -0.961   8.9601    5.247    19.456    0.9053   0.0021301177    1      0.985   0.983    64.4    425   3       0.596    lmc00357   19.434       19.835       0.3789997     
  lmc00362   425   0.291742   0.348    0.173   0.035   0.018   -0.0     3.077    -0.145   9.3603    6.1387   19.188    0.7588   0.0017854118    1      0.985   0.987    100.5   425   5       0.659    lmc00362   19.166       19.613       0.42500114    
  lmc00371   422   0.330251   0.221    0.103   0.014   0.007   -0.01    3.071    -0.456   9.3738    5.8563   18.874    0.3996   9.4691943E-4    1      0.981   0.987    98.7    422   3       0.449    lmc00371   18.869       19.274       0.39999962    
  lmc00372   428   0.287112   0.186    0.083   0.008   0.008   -0.021   -2.113   0.074    10.4952   6.4203   19.079    0.6476   0.001513084     1      0.982   0.987    60.4    428   3       0.482    lmc00372   19.071       19.45        0.3710003     
  lmc00374   428   0.286122   0.314    0.156   0.036   0.014   -0.008   -3.009   -0.524   9.5736    5.783    19.158    0.5754   0.0013443925    1      0.982   0.985    110.7   428   5       0.604    lmc00374   19.141       19.601       0.4429989     
  lmc00376   423   0.351821   0.28     0.131   0.014   0.008   -0.022   -2.35    1.369    10.2607   7.7195   18.825    0.4352   0.0010288416    1      0.98    0.98     114.0   423   4       0.471    lmc00376   18.816       19.312       0.4869995     
  lmc00380   307   0.338147   0.272    0.129   0.017   0.003   -0.027   -2.796   2.188    9.8239    8.5523   19.159    0.4095   0.0013338763    1      0.974   0.968    81.8    307   3       0.564    lmc00380   19.153       19.671       0.51199913    
  lmc00382   392   0.357671   0.293    0.142   0.027   0.02    -0.065   -2.759   -0.079   9.9386    6.4008   19.148    0.6278   0.0016015306    1      0.985   0.988    82.3    392   3       0.754    lmc00382   19.13        19.646       0.4979992     
  lmc00388   426   0.266916   0.116    0.044   0.006   0.008   -0.037   -2.235   1.612    10.4041   8.005    19.02     0.5686   0.0013347418    1      0.983   0.982    41.3    426   4       0.361    lmc00388   19.013       19.346       0.3260002     
  lmc00391   397   0.295808   0.305    0.148   0.026   0.014   0.022    2.647    -0.757   8.886     5.4602   18.959    0.6069   0.0015287152    1      0.983   0.983    92.8    397   4       0.699    lmc00391   18.943       19.399       0.44000053    
  lmc00393   15    0.353825   1.802    0.484   0.297   0.279   0.878    -2.113   1.136    8.6971    4.7847   18.566    0.0033   2.2E-4          1      0.732   0.804    441.7   15    4       0.359    lmc00393   18.818       ""           ""            
  lmc00395   423   0.273378   0.245    0.119   0.011   0.007   0.035    -3.092   2.927    9.4031    9.1039   19.293    0.6211   0.0014683215    1      0.989   0.985    81.5    423   3       0.498    lmc00395   19.279       19.715       0.42200089    
  lmc00403   421   0.285943   0.364    0.167   0.039   0.008   0.005    3.055    -0.238   9.3284    6.0297   18.855    0.3613   8.581948E-4     1      0.983   0.989    166.1   421   4       0.546    lmc00403   18.846       19.184       0.32900047    
  lmc00406   425   0.339516   0.256    0.127   0.012   0.01    -0.001   -3.036   1.02     9.5323    7.3054   19.048    0.5701   0.0013414118    1      0.982   0.988    88.8    425   3       0.5      lmc00406   19.037       19.566       0.51799965    
  lmc00414   363   0.333411   0.304    0.149   0.024   0.014   -0.01    2.935    0.002    9.2373    6.3135   18.566    0.2103   5.793388E-4     1      0.983   0.985    165.0   363   3       0.442    lmc00414   18.557       19.037       0.47100067    
  lmc00419   424   0.288449   0.38     0.173   0.052   0.015   -0.014   3.117    -0.692   9.4273    5.6321   18.966    0.4819   0.0011365566    1      0.987   0.984    146.6   424   5       0.565    lmc00419   18.953       19.325       0.35900116    
  lmc00421   19    0.418119   0.738    0.204   0.078   0.072   0.139    2.814    -1.474   8.82      4.3933   18.579    0.0094   4.947368E-4     1      0.757   0.846    147.1   19    3       0.336    lmc00421   18.585       ""           ""            
  lmc00424   423   0.306773   0.291    0.145   0.028   0.014   -0.03    2.988    -0.664   9.3305    5.7083   18.873    0.4004   9.465721E-4     1      0.984   0.975    126.7   423   5       0.479    lmc00424   18.863       19.323       0.45000076    
  lmc00425   422   0.357533   0.297    0.141   0.013   0.011   -0.012   2.912    0.496    9.22      6.8162   19.09     0.507    0.0012014218    1      0.983   0.985    112.3   422   3       0.572    lmc00425   19.078       19.507       0.41699982    
  lmc00428   422   0.284483   0.257    0.118   0.035   0.007   -0.004   2.828    -0.607   9.1182    5.687    18.804    0.3898   9.2369673E-4    1      0.985   0.983    111.9   422   5       0.51     lmc00428   18.794       19.214       0.40999985    
  lmc00430   425   0.320121   0.353    0.172   0.04    0.01    0.007    -2.945   0.073    9.6073    6.3351   18.935    0.572    0.0013458824    1      0.979   0.982    120.5   425   3       0.591    lmc00430   18.92        19.297       0.36200142    
  lmc00432   423   0.231449   0.232    0.116   0.019   0.005   0.012    2.338    0.421    8.5962    6.6672   19.385    0.7182   0.0016978724    1      0.981   0.979    69.2    423   4       0.597    lmc00432   19.37        19.758       0.3729992     
  lmc00434   423   0.326707   0.352    0.163   0.041   0.02    0.005    -3.108   -0.071   9.4481    6.1964   18.816    0.4478   0.0010586289    1      0.982   0.987    142.1   423   4       0.594    lmc00434   18.799       19.21        0.3939991     
  lmc00437   426   0.352912   0.256    0.131   0.016   0.01    -0.021   -2.503   -0.003   10.1063   6.3439   18.874    0.4086   9.591549E-4     1      0.985   0.987    110.0   426   3       0.478    lmc00437   18.867       19.357       0.4829998     
  lmc00441   425   0.314573   0.184    0.077   0.006   0.016   0.114    -3.096   -2.571   9.2433    9.6548   18.89     1.2272   0.0028875296    1      0.985   0.984    37.0    425   3       0.567    lmc00441   18.873       19.275       0.38500023    
  lmc00443   423   0.299825   0.365    0.173   0.047   0.024   -0.009   2.897    -0.98    9.1983    5.3302   19.066    0.5192   0.0012274232    1      0.985   0.977    134.4   423   4       0.583    lmc00443   19.05        19.479       0.4130001     
  lmc00448   424   0.298439   0.347    0.172   0.034   0.02    -0.023   3.004    -0.395   9.3342    5.959    19.019    0.5554   0.0013099057    1      0.981   0.983    123.4   424   3       0.661    lmc00448   19.005       19.448       0.42900085    
  lmc00461   22    0.321723   0.412    0.173   0.044   0.029   -0.001   -2.879   1.255    9.6892    7.5406   18.973    0.0126   5.727273E-4     1      0.844   0.85     87.3    22    3       0.435    lmc00461   18.963       ""           ""            
  lmc00465   117   0.328826   0.3      0.122   0.026   0.008   -0.016   3.037    -0.738   9.3522    5.5939   19.055    0.1748   0.0014940171    1      0.95    0.967    53.2    117   4       0.484    lmc00465   19.038       ""           ""            
  lmc00492   412   0.344575   0.277    0.138   0.012   0.006   0.028    -2.441   -0.595   10.0689   5.6029   18.905    0.4591   0.0011143204    1      0.984   0.985    104.9   412   4       0.678    lmc00492   18.895       19.4         0.49499893    
  lmc00497   430   0.307909   0.329    0.158   0.032   0.013   -0.024   -3.123   0.968    9.4908    7.3215   19.305    0.719    0.0016720929    1      0.987   0.983    98.8    430   3       0.685    lmc00497   19.289       19.854       0.5489998     
  lmc00498   430   0.320323   0.26     0.128   0.02    0.006   -0.007   -2.963   1.108    9.6179    7.4119   19.199    0.5719   0.00133         1      0.984   0.978    91.2    430   3       0.581    lmc00498   19.194       19.793       0.59399986    
  lmc00512   397   0.368089   0.246    0.12    0.01    0.003   -0.074   -2.191   2.212    10.523    8.7166   18.652    0.5263   0.0013256927    1      0.98    0.97     80.8    397   3       0.435    lmc00512   18.641       19.1         0.44799995    
  lmc00514   423   0.340978   0.328    0.163   0.03    0.02    -0.004   3.065    -0.441   9.3564    5.8542   18.706    0.3138   7.41844E-4      1      0.989   0.987    166.6   423   5       0.513    lmc00514   18.698       19.115       0.4090004     
  lmc00524   425   0.376017   0.302    0.135   0.011   0.011   0.004    -2.915   2.604    9.6422    8.8737   18.996    0.5446   0.0012814117    1      0.983   0.981    108.4   425   4       0.588    lmc00524   18.979       19.547       0.5510006     
  lmc00530   424   0.278273   0.173    0.069   0.01    0.007   -0.044   2.276    1.328    8.6473    7.7437   18.977    0.4856   0.001145283     1      0.981   0.985    68.1    424   3       0.366    lmc00530   18.968       19.442       0.46500015    
  lmc00535   426   0.287713   0.25     0.124   0.028   0.014   0.014    2.863    -0.535   9.1177    5.7058   18.777    0.4083   9.584507E-4     1      0.985   0.987    107.8   426   5       0.463    lmc00535   18.768       19.24        0.46299934    
  lmc00544   423   0.382817   0.226    0.107   0.011   0.013   0.038    -3.023   1.536    9.4678    7.7058   18.818    0.797    0.0018841607    1      0.986   0.985    60.8    423   3       0.478    lmc00544   18.802       19.37        0.55200005    
  lmc00547   412   0.308838   0.344    0.159   0.035   0.014   0.037    -3.031   -1.417   9.4611    4.7543   19.054    0.5735   0.0013919902    1      0.982   0.987    116.0   412   5       0.661    lmc00547   19.046       19.578       0.52399826    
  lmc00550   425   0.295626   0.244    0.117   0.023   0.004   0.044    3.123    -0.531   9.3173    5.6188   18.963    0.4566   0.001074353     1      0.985   0.986    97.5    425   3       0.51     lmc00550   18.959       19.323       0.3600006     
  lmc00553   422   0.290582   0.374    0.173   0.052   0.014   -0.014   3.066    -0.946   9.3776    5.38     18.915    0.3976   9.421801E-4     1      0.986   0.981    165.1   422   4       0.655    lmc00553   18.901       19.326       0.4109993     
  lmc00557   425   0.276333   0.364    0.17    0.036   0.013   -0.014   -3.04    -0.472   9.5533    5.8517   19.27     0.6581   0.0015484706    1      0.987   0.989    116.5   425   3       0.613    lmc00557   19.25        19.73        0.45999908    
  lmc00559   424   0.339057   0.287    0.145   0.023   0.012   0.004    -3.065   0.535    9.4928    6.805    18.503    0.2527   5.9599057E-4    1      0.984   0.98     166.9   424   4       0.44     lmc00559   18.492       18.959       0.45599937    
  lmc00562   419   0.362757   0.261    0.136   0.021   0.011   -0.018   -2.861   0.098    9.7422    6.4364   18.872    0.3797   9.0620527E-4    1      0.986   0.984    116.2   419   3       0.485    lmc00562   18.865       19.407       0.53499985    
  lmc00564   423   0.301989   0.323    0.153   0.038   0.013   0.018    3.026    -0.485   9.2738    5.746    19.168    0.5737   0.0013562648    1      0.985   0.988    111.2   423   4       0.688    lmc00564   19.154       19.652       0.48400116    
  lmc00568   421   0.337216   0.317    0.155   0.035   0.014   -0.028   -2.926   -0.387   9.6965    5.9794   18.989    0.4883   0.0011598575    1      0.987   0.985    121.2   421   3       0.52     lmc00568   18.979       19.509       0.52000046    
  lmc00576   407   0.310506   0.365    0.172   0.045   0.018   0.003    -3.124   -0.647   9.4375    5.6288   19.032    0.4564   0.001121376     1      0.984   0.977    141.1   407   3       0.603    lmc00576   19.021       19.446       0.41399956    
  lmc00580   425   0.333031   0.472    0.099   0.059   0.056   0.444    -0.425   -2.736   4.9699    8.4983   18.851    0.4251   0.0010002353    1      0.819   0.882    195.8   425   5       0.445    lmc00580   18.887       19.35        0.49900055    
  lmc00587   698   0.355902   0.259    0.133   0.016   0.009   0.022    -2.758   0.456    9.7653    6.6747   18.958    0.7211   0.0010330945    1      0.989   0.993    137.5   698   3       0.506    lmc00587   18.95        19.542       0.58399963    
  lmc00593   420   0.332339   0.249    0.126   0.011   0.005   0.012    -3.012   1.408    9.5296    7.654    18.989    0.4782   0.0011385714    1      0.988   0.984    97.0    420   5       0.515    lmc00593   18.979       19.482       0.49300003    
  lmc00594   419   0.303627   0.321    0.139   0.036   0.011   0.002    3.044    0.238    9.3239    6.5163   19.03     0.5622   0.0013417661    1      0.982   0.987    113.6   419   3       0.524    lmc00594   19.015       19.439       0.4089985     
  lmc00603   732   0.319514   0.301    0.146   0.032   0.007   0.001    -2.97    1.466    9.5952    7.7472   19.592    1.59     0.002172131     1      0.992   0.992    100.2   732   5       0.695    lmc00603   19.584       20.416       0.8240013     
  lmc00624   25    0.323103   0.378    0.138   0.032   0.03    0.021    -1.805   -1.745   10.719    4.4738   18.977    0.0136   5.44E-4         1      0.873   0.856    65.9    25    3       0.364    lmc00624   18.964       19.361       0.38400078    
  lmc00627   406   0.315923   0.335    0.163   0.039   0.016   0.016    3.098    -0.635   9.3499    5.6014   18.867    0.4186   0.0010310345    1      0.982   0.985    133.0   406   5       0.542    lmc00627   18.856       19.199       0.33199883    
  lmc00633   424   0.305032   0.371    0.173   0.047   0.01    -0.004   3.104    -0.218   9.395     6.0767   19.098    0.5355   0.0012629717    1      0.985   0.984    135.2   424   4       0.636    lmc00633   19.083       19.521       0.42300034    
