# id        Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN          aper   phcov   phcov2   snr      Npt   order   minmax   FeH_S05   OGLEID    Imean_ogle   Vmean_ogle   VmI          FeH_S16J                phi31v               phi31Kp              FeH_S16N              
  smc0023   506   0.588021   0.545    0.182   0.074   0.067   0.005    2.65     -0.779   8.9245    5.4905   19.074    0.9351   0.0018480237   1      0.988   0.989    165.9    506   5       1.03     -2.02     smc0023   19.052       19.58        0.5060005    -1.6358229941455837     4.890886994753792    5.064886994753793    -1.851204154949098    
  smc0025   494   0.642918   0.251    0.102   0.034   0.015   0.001    3.069    0.396    9.3493    6.6752   18.856    0.6061   0.0012269231   1      0.99    0.987    100.6    494   3       0.578    -1.397    smc0025   18.846       19.497       0.64099884   -0.7636161225518512     5.76071198214179     5.93471198214179     -0.5085743888344432   
  smc0027   670   0.572185   0.607    0.209   0.089   0.071   -0.017   2.606    -0.945   8.9231    5.3885   19.077    0.9356   0.0013964179   1      0.99    0.987    258.2    670   5       0.826    -1.953    smc0027   19.055       19.61        0.53300095   -1.6294693389822914     4.8320088551530205   5.006008855153021    -1.853982058508194    
  smc0029   496   0.593713   0.504    0.178   0.075   0.06    -0.036   2.563    -0.848   8.9184    5.5428   19.083    0.8866   0.0017875      1      0.984   0.987    152.8    496   5       0.903    -2.02     smc0029   19.067       19.639       0.55599976   -1.6246615409783223     4.922061054144573    5.096061054144573    -1.825027672019452    
  smc0030   838   0.615892   0.499    0.178   0.063   0.067   0.025    2.762    -0.772   8.9951    5.4349   19.01     1.4106   0.0016832935   1      0.993   0.991    201.2    838   5       0.876    -2.012    smc0030   18.99        19.531       0.5209999    -1.829681063692223      4.858477726016051    5.032477726016052    -2.1669873000653013   
  smc0031   487   0.531805   0.475    0.186   0.071   0.053   0.009    2.457    -0.874   8.7216    5.3817   19.228    0.7655   0.0015718685   1      0.984   0.989    155.4    487   5       0.773    -1.808    smc0031   19.207       19.724       0.4960003    -1.4168094786164165     4.828173798491526    5.002173798491526    -1.509380411011854    
  smc0033   482   0.605116   0.407    0.168   0.062   0.039   0.0      2.69     -0.534   8.9732    5.7493   19.071    0.9436   0.0019576764   1      0.988   0.989    117.2    482   5       0.771    -1.741    smc0033   19.051       19.664       0.5930004    -1.5121095209643078     5.051667961772277    5.225667961772277    -1.6171606378455223   
  smc0034   85    0.574105   0.583    0.185   0.094   0.068   -0.021   2.618    -0.929   8.9439    5.4177   19.02     0.0918   0.00108        1      0.933   0.93     109.8    85    5       0.724    -1.857    smc0034   19.006       ""           ""           -1.617540193409785      4.848604634913187    5.022604634913187    -1.831929984625173    
  smc0036   436   0.522223   0.801    0.249   0.111   0.094   -0.006   2.496    -1.13    8.7917    5.1728   19.103    0.9518   0.0021830276   1      0.98    0.979    217.4    436   5       0.957    -1.552    smc0036   19.073       19.635       0.5319996    -1.515937004168812      4.715858933302959    4.88985893330296     -1.6626942497646233   
  smc0038   22    0.523089   0.545    0.217   0.062   0.042   -0.014   2.752    -0.133   9.0623    6.1917   19.366    0.0287   0.0013045454   1      0.915   0.88     61.3     22    3       0.676    -1.427    smc0038   19.344       ""           ""           -0.6496749667511361     5.364357150649798    5.538357150649798    -0.5480432889747995   
